u,v,score
45,106,-13.332427
46,173,-13.334194
112,123,-13.3350115
45,170,-13.339257
13,46,-13.345605
61,143,-13.347686
1,112,-13.351359
66,112,-13.353837
95,143,-13.360668
64,173,-13.361352
36,62,-13.366646
93,170,-13.369357
46,137,-13.371322
121,170,-13.3919935
72,99,-13.397776
41,170,-13.40331
11,99,-13.414875
93,112,-13.423272
1,106,-13.431649
72,170,-13.436751
80,99,-13.446633
36,121,-13.448756
123,143,-13.484588
28,143,-13.485166
36,72,-13.490275
36,43,-13.494884
87,112,-13.502607
21,112,-13.507353
170,186,-13.508031
48,99,-13.514315
49,87,-13.515644
78,99,-13.5160475
11,106,-13.519815
62,99,-13.531623
105,112,-13.53453
106,186,-13.540511
36,70,-13.540653
48,106,-13.540732
11,170,-13.54264
41,99,-13.545869
70,106,-13.54956
49,95,-13.554007
36,64,-13.555327
36,186,-13.564379
36,80,-13.5673
66,99,-13.567929
80,106,-13.571807
36,48,-13.5745325
93,99,-13.579238
43,99,-13.584046
80,170,-13.589058
1,99,-13.5955105
35,112,-13.602588
86,143,-13.60485
64,112,-13.605193
43,106,-13.607485
49,61,-13.609637
21,74,-13.610431
112,121,-13.61239
21,32,-13.615423
7,21,-13.619584
105,137,-13.623514
74,87,-13.626891
48,170,-13.635373
11,36,-13.636365
66,143,-13.649025
62,143,-13.653745
62,112,-13.65792
43,170,-13.6641445
105,173,-13.664714
13,105,-13.664847
64,106,-13.66689
70,170,-13.667028
112,186,-13.670744
97,119,-13.680554
1,170,-13.685414
99,121,-13.689519
49,119,-13.695428
87,118,-13.705076
99,186,-13.705909
78,106,-13.710694
27,143,-13.714667
112,115,-13.717932
78,170,-13.720518
61,156,-13.72153
36,78,-13.7233095
61,74,-13.724483
49,76,-13.725793
28,49,-13.726193
7,87,-13.740511
95,156,-13.741658
1,36,-13.747893
111,119,-13.766693
112,119,-13.76871
72,143,-13.780423
21,160,-13.787925
74,95,-13.79343
21,118,-13.794929
17,21,-13.803988
93,143,-13.806903
106,117,-13.821454
61,182,-13.8287525
121,143,-13.851834
76,156,-13.855166
21,97,-13.857258
49,86,-13.864509
41,143,-13.865558
64,170,-13.865914
17,119,-13.86672
46,99,-13.870118
61,97,-13.893296
74,76,-13.897866
143,186,-13.913314
7,61,-13.913619
87,160,-13.921238
21,111,-13.9320965
7,95,-13.932196
74,119,-13.940525
1,143,-13.940987
45,143,-13.94336
95,160,-13.945533
32,87,-13.949185
28,74,-13.954796
64,99,-13.955384
27,49,-13.956048
117,173,-13.956834
36,46,-13.957446
70,99,-13.957933
28,182,-13.964922
36,117,-13.966691
46,106,-13.9678955
95,118,-13.968493
95,182,-13.970098
28,156,-13.974769
17,61,-13.9806795
86,182,-13.981345
61,160,-13.98342
7,28,-13.9836
17,76,-13.991391
95,111,-13.993171
45,49,-14.001454
17,95,-14.009185
61,118,-14.01176
76,118,-14.012843
35,49,-14.026779
28,118,-14.027799
74,86,-14.028621
28,160,-14.030553
95,97,-14.033021
61,111,-14.03385
11,143,-14.03502
97,123,-14.042748
61,102,-14.042979
76,97,-14.045039
36,105,-14.047748
49,72,-14.048038
49,123,-14.052171
35,97,-14.054369
115,173,-14.067708
119,160,-14.068446
11,49,-14.069934
76,182,-14.069999
112,117,-14.074514
95,102,-14.07767
87,111,-14.080895
80,143,-14.082483
13,115,-14.083377
76,111,-14.0847025
27,156,-14.084872
70,112,-14.088237
17,87,-14.08898
7,76,-14.089783
46,170,-14.092765
17,28,-14.095944
7,119,-14.099526
28,97,-14.102586
35,118,-14.1034975
87,156,-14.104352
86,156,-14.115266
123,182,-14.117872
48,143,-14.120391
115,137,-14.124059
1,49,-14.127313
27,74,-14.139181
117,170,-14.139214
86,118,-14.142091
35,111,-14.150178
66,97,-14.150222
78,143,-14.151378
70,143,-14.153934
123,156,-14.15425
35,74,-14.155384
45,156,-14.156642
49,62,-14.158184
66,182,-14.160157
41,49,-14.162953
28,102,-14.1653185
49,66,-14.168431
32,95,-14.170706
95,169,-14.173876
28,111,-14.176799
59,87,-14.181249
61,169,-14.184516
7,86,-14.192473
99,117,-14.197091
74,123,-14.201745
21,82,-14.202311
45,74,-14.202506
49,78,-14.204113
32,61,-14.2046
86,160,-14.205878
48,49,-14.211471
7,35,-14.211727
76,102,-14.211883
76,160,-14.212448
32,119,-14.213653
119,182,-14.213774
118,123,-14.215337
86,97,-14.219192
87,97,-14.223796
111,123,-14.225938
87,169,-14.2332115
99,105,-14.235303
35,182,-14.238944
49,80,-14.2511015
21,102,-14.251403
41,74,-14.252305
17,35,-14.255393
21,156,-14.259642
7,45,-14.259744
21,182,-14.261378
93,182,-14.268081
43,49,-14.271534
43,143,-14.273645
119,156,-14.277436
102,119,-14.277453
21,132,-14.278237
7,27,-14.278841
35,160,-14.279645
87,102,-14.28037
28,32,-14.280799
21,59,-14.2915
45,182,-14.2978945
49,186,-14.299058
11,156,-14.300515
49,93,-14.300611
72,118,-14.301621
66,118,-14.306781
28,169,-14.306967
32,76,-14.310424
49,121,-14.311794
21,138,-14.311874
105,170,-14.315181
86,102,-14.316952
7,123,-14.3170185
66,74,-14.318606
86,111,-14.321049
72,74,-14.321742
21,90,-14.321897
41,182,-14.331859
35,102,-14.332483
32,35,-14.33685
123,160,-14.343054
76,169,-14.345597
62,118,-14.345824
41,156,-14.349179
11,74,-14.350159
86,169,-14.35213
66,156,-14.35468
27,118,-14.357356
7,41,-14.358141
17,27,-14.359554
21,146,-14.365665
62,74,-14.368355
17,86,-14.37144
27,182,-14.3735
27,160,-14.376208
17,123,-14.379003
105,106,-14.381835
61,140,-14.38448
35,156,-14.385367
74,80,-14.390813
87,132,-14.394483
21,190,-14.394658
45,118,-14.395015
66,111,-14.3960905
41,118,-14.397288
21,58,-14.397729
59,61,-14.3986025
66,160,-14.402337
123,169,-14.402912
119,138,-14.403814
45,160,-14.40412
99,115,-14.405274
48,156,-14.406824
7,72,-14.407374
121,160,-14.413413
93,97,-14.41632
27,111,-14.417676
74,93,-14.422484
72,156,-14.423425
93,118,-14.425169
21,169,-14.425328
64,143,-14.426467
74,78,-14.426606
7,121,-14.430548
27,97,-14.431093
17,45,-14.43315
7,11,-14.436086
118,121,-14.436791
1,74,-14.439429
80,156,-14.441075
7,66,-14.444918
7,62,-14.447547
3,95,-14.453075
3,21,-14.453519
66,102,-14.460366
43,156,-14.462306
1,118,-14.462653
93,156,-14.462981
32,62,-14.463258
17,72,-14.463538
11,118,-14.466522
121,182,-14.468302
41,160,-14.470242
87,125,-14.472114
74,121,-14.472314
59,95,-14.475236
95,140,-14.476296
117,143,-14.479432
78,156,-14.483146
7,80,-14.483578
97,121,-14.487261
82,87,-14.4904375
43,74,-14.490589
62,160,-14.490925
119,132,-14.491984
102,123,-14.493686
62,97,-14.501346
21,125,-14.501709
137,143,-14.504083
111,121,-14.505525
48,74,-14.507848
27,102,-14.511123
32,86,-14.516496
21,127,-14.522415
87,182,-14.522678
1,7,-14.5255375
76,140,-14.526241
41,97,-14.526962
21,140,-14.527707
48,182,-14.52851
17,62,-14.5324
32,121,-14.53305
95,132,-14.537136
17,66,-14.5379305
43,182,-14.538446
61,132,-14.540441
72,97,-14.542207
72,182,-14.54312
11,160,-14.545124
3,61,-14.547578
11,17,-14.549113
93,160,-14.549729
62,182,-14.551528
80,160,-14.552215
41,111,-14.5546055
62,111,-14.555745
59,76,-14.559129
45,111,-14.56317
17,41,-14.564616
27,169,-14.56718
58,119,-14.567454
72,111,-14.567455
28,140,-14.574061
45,97,-14.577254
46,143,-14.58713
106,115,-14.588556
9,95,-14.589726
7,93,-14.590239
61,138,-14.5905695
74,186,-14.591567
119,181,-14.594774
46,49,-14.595244
121,156,-14.595397
93,111,-14.598477
45,102,-14.602109
7,186,-14.602437
66,169,-14.608807
80,118,-14.610437
123,140,-14.6128845
119,140,-14.617007
87,190,-14.617093
119,169,-14.619224
61,125,-14.62526
7,43,-14.625876
1,156,-14.626597
7,48,-14.627727
17,121,-14.628797
3,87,-14.631579
48,118,-14.631742
78,160,-14.635741
11,182,-14.640082
72,160,-14.641999
32,72,-14.643418
17,80,-14.643655
119,146,-14.646731
7,78,-14.646792
64,182,-14.649541
97,186,-14.651433
95,138,-14.655925
35,169,-14.656495
95,125,-14.658471
49,64,-14.658498
58,95,-14.660394
28,59,-14.662505
93,102,-14.662852
87,127,-14.663893
86,140,-14.664235
45,169,-14.664887
32,123,-14.666889
9,61,-14.672772
17,186,-14.676355
118,186,-14.676396
43,118,-14.679247
35,140,-14.67945
28,132,-14.681139
1,160,-14.683263
102,121,-14.684842
36,115,-14.686385
87,90,-14.689429
48,160,-14.689931
3,28,-14.690417
76,125,-14.693992
1,111,-14.695279
17,93,-14.701922
119,127,-14.7055235
80,182,-14.706576
43,160,-14.710421
182,186,-14.711796
62,102,-14.712888
111,186,-14.713731
32,66,-14.715093
17,48,-14.721343
59,86,-14.721821
93,169,-14.72215
9,76,-14.725612
87,140,-14.727172
59,119,-14.728456
1,17,-14.730838
156,186,-14.73129
62,169,-14.733043
58,61,-14.739394
11,111,-14.744919
82,119,-14.745265
115,170,-14.750057
62,156,-14.750232
41,102,-14.750514
11,102,-14.753672
7,70,-14.756061
15,61,-14.757834
76,132,-14.758548
72,102,-14.758794
87,138,-14.763146
70,97,-14.763309
160,186,-14.767699
28,125,-14.768246
27,32,-14.7693205
3,76,-14.769656
28,138,-14.771943
49,117,-14.773652
90,119,-14.773683
3,119,-14.778453
49,70,-14.7797785
82,95,-14.782552
48,97,-14.786255
32,41,-14.789092
95,127,-14.791112
80,169,-14.792492
80,97,-14.795989
61,181,-14.796433
17,43,-14.797189
64,74,-14.798169
66,140,-14.8007555
78,182,-14.801376
9,21,-14.802001
70,74,-14.802013
3,86,-14.803272
32,45,-14.803571
76,138,-14.804225
48,111,-14.812011
21,69,-14.812976
119,190,-14.817486
21,181,-14.81754
46,74,-14.818622
76,127,-14.82327
43,111,-14.824571
58,76,-14.825511
61,82,-14.827523
78,97,-14.827819
70,182,-14.829269
86,132,-14.831353
9,119,-14.831601
78,118,-14.83277
9,28,-14.83464
11,97,-14.834946
17,78,-14.835212
80,111,-14.836394
27,140,-14.838191
64,156,-14.83858
41,169,-14.840131
3,27,-14.841592
46,156,-14.843419
64,97,-14.848233
58,87,-14.851329
35,132,-14.852703
21,133,-14.856524
46,182,-14.856846
43,97,-14.857022
27,59,-14.858712
95,181,-14.859162
3,45,-14.861966
21,109,-14.863147
123,138,-14.863214
1,97,-14.863753
28,58,-14.869473
11,169,-14.870166
1,32,-14.872207
86,125,-14.87357
32,186,-14.876072
119,125,-14.877092
87,146,-14.880924
70,160,-14.882216
35,138,-14.883764
48,102,-14.888883
61,127,-14.890962
87,109,-14.894404
102,186,-14.89731
21,128,-14.899685
105,143,-14.900386
49,105,-14.904382
70,156,-14.90854
70,118,-14.90923
121,169,-14.910148
117,182,-14.910547
43,169,-14.915731
41,140,-14.922242
121,140,-14.92477
45,140,-14.926005
78,111,-14.926346
48,169,-14.926903
78,169,-14.92717
15,95,-14.928084
7,64,-14.930488
80,102,-14.931665
15,86,-14.932603
64,118,-14.933701
62,140,-14.934957
59,123,-14.938035
123,132,-14.939378
21,191,-14.940889
3,123,-14.942865
76,181,-14.9527645
45,59,-14.957996
72,169,-14.958928
87,89,-14.959362
28,82,-14.963561
32,80,-14.965424
28,181,-14.969544
51,61,-14.969586
11,59,-14.970065
64,160,-14.970344
3,11,-14.970519
61,109,-14.97313
32,93,-14.974689
7,46,-14.976287
86,138,-14.982145
59,78,-14.9824095
11,32,-14.989873
35,59,-14.99058
43,102,-14.9909525
3,41,-14.992501
35,58,-14.995705
119,133,-14.998672
21,29,-15.000035
119,128,-15.001037
76,82,-15.00655
87,133,-15.009711
90,95,-15.011392
72,140,-15.013793
61,90,-15.014199
1,182,-15.016406
27,132,-15.016623
61,146,-15.016931
123,125,-15.017379
66,132,-15.0185
3,66,-15.018954
70,111,-15.023116
64,111,-15.027891
9,86,-15.029111
35,181,-15.030034
61,89,-15.031155
48,140,-15.0323
62,132,-15.036606
117,118,-15.040345
93,140,-15.043279
46,118,-15.044076
27,125,-15.045544
70,169,-15.049115
95,146,-15.050538
1,102,-15.051564
66,138,-15.057878
3,35,-15.058871
61,128,-15.062149
17,70,-15.064042
95,109,-15.064044
123,181,-15.066152
21,134,-15.066493
87,128,-15.066766
59,80,-15.067798
4,21,-15.07339
78,102,-15.074187
35,125,-15.075294
76,128,-15.07754
59,66,-15.078344
17,64,-15.084655
109,119,-15.084762
27,138,-15.085267
46,160,-15.086442
21,89,-15.087211
32,48,-15.089276
7,105,-15.092652
3,78,-15.0941725
1,140,-15.094399
62,138,-15.094914
45,125,-15.097446
15,28,-15.098111
9,27,-15.100694
3,48,-15.101411
58,123,-15.102476
3,80,-15.102582
45,132,-15.104407
95,190,-15.106967
64,169,-15.107427
89,95,-15.10822
59,72,-15.108475
35,82,-15.10859
76,146,-15.109046
9,35,-15.110019
28,127,-15.110494
9,45,-15.111066
9,87,-15.111348
97,117,-15.113816
74,105,-15.115674
61,190,-15.115846
3,72,-15.117603
43,140,-15.11774
11,140,-15.11842
15,76,-15.119969
59,62,-15.122311
41,59,-15.123279
82,86,-15.124641
58,86,-15.125095
41,132,-15.125169
17,117,-15.125739
15,27,-15.127616
3,43,-15.130523
51,76,-15.134564
3,121,-15.137288
121,132,-15.138452
3,62,-15.139491
76,109,-15.1431875
48,59,-15.148181
28,146,-15.148296
169,186,-15.148621
28,90,-15.148627
15,45,-15.149022
32,43,-15.149823
69,119,-15.149997
27,58,-15.157712
51,95,-15.158391
1,3,-15.160932
35,146,-15.161172
66,181,-15.166032
59,121,-15.167739
115,143,-15.168052
76,190,-15.168368
15,66,-15.168569
74,117,-15.1740675
49,115,-15.174077
9,72,-15.174448
86,181,-15.174949
70,102,-15.179177
11,125,-15.179315
95,133,-15.191139
64,102,-15.19156
7,117,-15.192908
58,72,-15.194834
119,191,-15.198978
95,128,-15.200397
86,109,-15.201438
3,93,-15.202554
17,46,-15.203788
105,160,-15.204307
61,133,-15.204913
35,128,-15.205703
35,127,-15.207286
87,181,-15.208777
66,125,-15.211064
117,156,-15.214217
76,90,-15.215224
72,125,-15.216996
1,169,-15.217893
11,132,-15.219468
93,132,-15.220189
41,138,-15.220395
69,87,-15.2218275
1,59,-15.223034
123,127,-15.225104
27,181,-15.225153
35,190,-15.227794
72,138,-15.22959
32,78,-15.230411
105,156,-15.230561
29,87,-15.231477
58,66,-15.232124
28,109,-15.233904
111,117,-15.234273
76,89,-15.235351
86,127,-15.235866
45,58,-15.236287
80,132,-15.238212
4,95,-15.239167
59,93,-15.240028
78,132,-15.240874
28,190,-15.246427
45,138,-15.248473
89,119,-15.25143
80,125,-15.251721
9,123,-15.251959
27,127,-15.253818
62,125,-15.253982
28,89,-15.254882
9,11,-15.256749
80,140,-15.260938
121,138,-15.2610855
58,62,-15.261601
11,58,-15.261674
64,140,-15.262237
28,128,-15.266875
62,82,-15.267189
9,66,-15.268157
117,160,-15.270631
29,119,-15.272928
72,132,-15.272943
78,140,-15.273879
51,119,-15.274684
43,59,-15.278794
82,123,-15.279029
90,123,-15.280013
105,182,-15.280035
86,128,-15.2801695
28,51,-15.28191
86,89,-15.282036
4,61,-15.286395
87,191,-15.286782
35,90,-15.291404
9,48,-15.29175
97,137,-15.293414
1,58,-15.293838
58,121,-15.294827
41,125,-15.301095
76,133,-15.308896
28,133,-15.309994
86,90,-15.310944
32,70,-15.315422
46,97,-15.3156
48,125,-15.315814
123,146,-15.318406
3,186,-15.320264
48,132,-15.3219
15,123,-15.322093
51,86,-15.322316
27,82,-15.323512
46,169,-15.323527
72,82,-15.327716
46,111,-15.327722
123,128,-15.330197
93,138,-15.330773
140,186,-15.332122
72,127,-15.336874
62,181,-15.3380785
102,117,-15.339626
15,48,-15.347432
117,140,-15.348714
41,58,-15.349883
1,132,-15.35826
45,82,-15.358333
66,109,-15.360814
21,179,-15.36114
66,128,-15.361836
29,61,-15.366755
9,41,-15.368899
86,146,-15.372598
66,82,-15.376544
109,123,-15.377676
82,121,-15.379437
9,186,-15.379542
11,82,-15.379767
43,125,-15.381021
41,181,-15.381137
121,181,-15.38157
21,154,-15.381741
9,121,-15.38243
35,133,-15.382567
132,186,-15.382909
72,181,-15.384402
93,125,-15.385357
62,190,-15.387837
97,105,-15.387846
21,67,-15.38823
87,134,-15.391976
59,186,-15.394966
121,125,-15.397848
138,186,-15.399735
27,109,-15.402461
123,133,-15.404708
89,123,-15.40569
45,181,-15.406308
4,87,-15.406951
58,186,-15.409724
9,78,-15.410802
62,90,-15.411429
35,109,-15.411761
45,127,-15.413936
123,190,-15.416237
4,119,-15.417077
43,132,-15.420066
62,127,-15.424539
80,82,-15.424958
48,58,-15.426357
32,64,-15.426618
66,146,-15.42868
11,127,-15.4286995
66,127,-15.428748
15,43,-15.430345
62,146,-15.431842
29,95,-15.432124
1,9,-15.436566
1,125,-15.436936
41,82,-15.4375105
78,125,-15.438731
99,137,-15.442723
27,90,-15.443759
35,51,-15.444831
19,21,-15.446949
58,93,-15.447423
86,190,-15.448621
4,76,-15.448963
9,62,-15.451171
51,123,-15.45135
1,127,-15.454873
66,90,-15.455029
15,41,-15.45507
78,138,-15.456139
21,188,-15.45652
87,188,-15.457481
105,118,-15.459066
46,102,-15.463138
9,43,-15.466545
43,138,-15.471318
3,64,-15.471448
48,138,-15.471948
11,15,-15.47545
69,95,-15.4838085
93,181,-15.4844675
15,93,-15.4852915
58,80,-15.487502
61,191,-15.488139
51,66,-15.488763
43,58,-15.4912405
11,138,-15.49351
21,145,-15.494359
95,191,-15.495976
3,46,-15.4985
58,78,-15.499865
21,51,-15.501067
35,89,-15.503453
115,156,-15.504207
32,117,-15.508369
27,89,-15.509357
119,134,-15.510205
27,146,-15.51158
15,78,-15.514134
66,190,-15.515721
